Name,Orig Name,Manu.,Year,Machine Settings,Tech Notes,Concerns,Lock Stealing,Group,
Batman (Stern),Batman,Stern,2008,,"Batman will be a long playing game in a competitive environment. The Batman toy will occasionally block the center ramp with its fist or cape if not installed correctly. The rear saucer is prone to rejecting strong shots from the left orbit if the game’s pitch is too shallow. Strong shots to the Joker lock will sometimes bounce back into the playfield if the wire gate is not aligned correctly. If the game is leaning left, or the right orbit shot is easily caught on the left flipper, the batmobile hurry-up mode in the game can be exploited and create a scoring imbalance. All directors are encouraged to update their code to 2.94. This software revision is a worthwhile and significant upgrade over the code that was shipped on many games from the factory. The Joker drop target and blue nub on the left side of the center ramp (Part # 626-5085-00) are not common parts. Directors are encouraged to have spares on hand.","Setting the Lucius insert (gadget upper playfield) to easy or extra easy could potentially encourage players in some situations to reach the wizard mode with little downside to the adjustment. Due to the potential of a hurry-up scoring exploit, it is critical Batman is level from left to right. If the Joker lock lane is too clean, and the pitch is too shallow, a strong shot will occasionally move the entire way through the virtual lock and not register. One solution to this problem is to not clean that specific area. The dirtier, slower lane will help to keep strong shots from passing through the virtual lock without registering.",No,G4yVw,1
Batman Forever,Batman Forever,Sega,1995,,Ensure the flippers are strong enough to make all ramps easily prior to the start of the event.,,No,G59zN,1
Baywatch,Baywatch,Sega,1995,,Ensure the right flipper is strong enough to make the left ramp easily prior to the start of the event.,"The timing of the sideramp skillshot on Baywatch is sensitive to the game’s pitch. If the ball rattles at all on its way to the lower right kicker, the game will not return the ball to the upper left flipper for an attempt to complete the skillshot. The higher above the recommended pitch the game sits, the more likely it is the ball will rattle against the gate above the pop bumpers and not reach the kicker in time. Directors are encouraged to set Baywatch at or near the recommended pitch of 6.5 degrees. Squid pops are delicious if cooked correctly.",No,Grxvy,1
Big Bang Bar,Big Bang Bar,PMI,2007,,,Lopsided scoring and tends to be a long playing game in a competitive environment.,No,G56vo,1
Big Buck Hunter Pro,Big Buck Hunter,Stern,2009,Set random award to tournaments. Consider setting Buck to EASY.,,The Buck mechanism will be very difficult to keep dialed in throughout a multi-day tournament.,No,G4N6n,1
Big Guns,Big Guns,Williams,1987,,,Lock stealing is a severe issue in this game. PAPA recommends playing it as single-player only if it must be used.,Yes,G4d8k,1
Frank Thomas' Big Hurt,Big Hurt,Gottlieb,1995,,,The crowd will become upset being forced to listen to the game scream about Frank Thomas for several days. Also there are several noteworthy scoring exploits that prohibit the game from being used in high-level competition.,No,G4kzN,1
Black Hole,Black Hole,Gottlieb,1981,,,Black Hole has lock stealing on the lower playfield.,Yes,G41yq,1
Black Knight,Black Knight,Williams,1980,,,Black Knight can potentially be a long playing game in a tournament environment with high-caliber players.,No,GrO7w,1
Black Knight 2000,Black Knight 2000,Williams,1989,,,"Carryover ransom feature and lock stealing diminish this game’s use in any division. The game also suffers from highly repetitive playing strategies, often causing it to take a long time to finish under tournament conditions.",Yes,GrxPP,1
Black Pyramid,Black Pyramid,Bally,1984,Dipswitch 24 should be set so the rollover switch at the top of the right orbit scores BLACK and PYRAMID one time and then repeats 50k points.,,,No,GRVnY,1
Black Rose,Black Rose,Bally,1992,,,Highly repetitive scoring strategies lessen this game’s appeal for Expert Divisions.,No,G5vZd,1
Bram Stoker's Dracula,Bram Stoker's Dracula,Williams,1993,,"Dracula is a game where rhythm is very important. Flipper hop on this game can be devastating to players, and it should be fixed or avoided at all cost. Turning off the ball-saver on Dracula will also turn off the ball saver during multiball. Considering the short ball times on this game at factory settings, and the fact the plunge and subsequent randomized pop bumper action are out of the players’ control, Directors are encouraged to leave the players a ball saver. If available, directors are encouraged to use the custom 500k mystery award rom.",The mystery award is random and is significant enough in many situations to cause a competitive imbalance. Directors are encouraged to install modified roms that limit the mystery to 500k. Another potential fix is to lower the mystery timer to one second.,No,G41do,1
Breakshot,Breakshot,Capcom,1996,,,Breakshot can be an extremely slow playing game.,Yes,G43oE,1
Buck Rogers,Buck Rogers,Gottlieb,1980,,Be certain the flippers are capable of completing the captive ball.,,No,GRKx7,1
Cactus Canyon,Cactus Canyon,Bally,1998,,,Expert players will exploit the infinite showdown multiball possibility.,No,G4835,1
Captain Fantastic and the Brown Dirt Cowboy,Captain Fantastic,Bally,1975,,,Game may cause players to exhibit better taste in clothing.,No,GRveZ,1
Centaur,Centaur,Bally,1981,,"In general, Centaur is not a long-playing game, and the ball is out of control frequently by design, so there is little drawback to allowing players to nudge. Keeping the tilt reasonably loose will only encourage more strategizing within the game. If the rubber is still on the post guarding the gate in the outlane, and players are easily capable of putting a ball back into play, however, the game can, and will, play too long. Balance the tightness of the tilt with relation to this outlane post, erring on the side of allowing the players to nudge rather than tilt the game. Dipswitch 6 set to ON causes bonus X to carryover between balls Dipswitch 7 set to ON causes 20, 40, and 60 super bonus lights to carryover between balls Dipswitches 6 & 7 allow the player drastically different strategic opportunities depending on whether they are set to ON or OFF. Neither setting is considered “correct”, but if the game is used in a format where players are only permitted to play the game once, or with limited knowledge of how the game was playing for other players, Directors are encouraged to place a sign on the backglass explaining the settings. Dipswitch 30 controls the attract mode, puts unnecessary stress on the game, and should be set to OFF",,No,GrX7q,1
Champion Pub,Champion Pub,Bally,1998,,"If the tilt and boxer mechanism are both too loose, players can shake the machine to score hits on the boxer and win bouts. If the flippers are aligned correctly, the jab ramps should both be makeable depending upon which side of the up-post the ball is resting.","Early in the game, the video mode is worth an exorbitant amount of points compared to the boxing rounds, causing the winners of quick games to be determined not by who is a better “pinball” player but by who catches the most spit in their buckets during this mode. Later in the game after becoming “Pub Champion”, players are permitted to wager significant amounts of points in cash fights, leading to highly unusual and imbalanced situations in a competitive environment. Both of these issues means Champion Pub is a poor choice for competition. The locking mechanism can prevent players from earning skillshots in multiplayer games, which can create a critical competitive imbalance between the players involved.",No,G42k0,1
Checkpoint,Checkpoint,Data East,1991,,Be sure the left flipper is strong enough to make the ramp from a cradle.,"Checkpoint is generally a one-shot game. There is nothing outright wrong with using Checkpoint in a tournament, but many players may prefer to play a game with more varied scoring options. Weigh this consideration as a director with whatever other options you may have.",No,G4Jdp,1
Cirqus Voltaire,Cirqus Voltaire,Bally,1997,,Install virtual locks. Removing outlane posts on this game is ill-advised. Use Rom Version 2.0H,"At higher skill levels, the ringmaster battle can last for an extended period of time. This issue is deep into the game, though, so is only a concern if the game is being used in a repetitive qualifying scenario where players can become very familiar with the shots and rebounds. The Ringmaster battle difficulty can also be set to 100k per hit as opposed to a million, lessening the impact of an extended battle and further balancing with other goals in the game.",No,GRVjJ,1
Comet,Comet,Williams,1985,,Be certain both flippers are strong enough to make cycle jump and the corkscrew ramp prior to the tournament beginning.,,No,Gryd3,1
Congo,Congo,Williams,1995,,,"Congo suffers from the 3-switch, valid playfield software situation, but a true scoring exploit has not surfaced yet in any major competition. For the time being, Congo is considered fine for tournament play.",No,GrNd0,1
Corvette,Corvette,Bally,1994,,Be sure the flippers are strong enough to make all ramps easily prior to the tournament starting.,,No,GrjDz,1
Counterforce,Counterforce,Gottlieb,1980,,,,No,GRYPN,1
Creature from the Black Lagoon,Creature from the Black Lagoon,Bally,1992,,"This game should be set up without rubbers on the outlanes, which is how it shipped from the factory. The tilt should be set loose enough to allow for nudging, but it shouldn’t be so loose that players can overwork the whirlpool and receive endless letters. Four letters for each trip to the whirlpool is reasonable, with some falling short at three and some attaining five.","Creature is a relatively poor game for competition because the random awards can occasionally cause severe imbalances between players. While one player may receive Left Ramp Millions from the snackbar, a very lucrative mode, another play may receive “Hot Pretzel”, which is essentially a big middle finger from the programmer Jeff Johnson to anyone who desperately needs points to save their tournament life. This same imbalance also exists during the multiball sequence when players are required to find the girl in one of three areas. For some players the girl may be in the first cavern they search, while for others she will remain hidden until the third. Unfortunately, there is nothing in currently available software revisions that can be done to fix these and other issues.",No,GrNWn,1
CSI: Crime Scene Investigation,CSI,Stern,2008,,,"CSI contains a “valid playfield” exploit which allows a player to repeatedly grow bonus multipliers on the inlanes without risking a drain. This problem is amplified in CSI, because bonus multipliers are a large scoring opportunity.",No,GRokz,1
Cue Ball Wizard,Cue Ball Wizard,Gottlieb,1992,,,,No,G5vPd,1
Cyclone,Cyclone,Williams,1988,,,,No,G4O2b,1
Deadly Weapon,Deadly Weapon,Gottlieb,1990,,,The mystery award is random even in novelty setting which can lead to wild discrepancies in the value of the awards between players in multiplayer games.,No,Grj9q,1
Demolition Man,Demolition Man,Williams,1994,,"Demolition Man is prone to having clean ramps shots spin or “moonwalk” backward out of the inlane into the outlane, ending the player’s ball. This type of behavior can be avoided by laying thin strips of mylar on the ramp (or inlane if necessary) to alter the spin of the ball. A properly setup Demolition Man should never have balls moonwalk out of the inlane no matter how clean the playfield is.","On standard settings, tournament players tend to repeatedly play multiball, choosing Lock Freeze. Disabling the claw via software forces players to vary their play and has met with success in multiple events. This is not a requirement, but a recommendation.",No,G5bv3,1
Devil's Dare,Devil's Dare,Gottlieb,1982,,,,No,GrNkY,1
Dirty Harry,Dirty Harry,Williams,1995,,,,No,GrJ2Z,1
Doctor Who,Doctor Who,Bally,1992,,,"The video mode can potentially be a safe way to earn lots of points in Doctor Who, meaning players who employ this strategy will take a very long time and generally not play much physical pinball to go along with the video modes. Unfortunately, there is no way to speed up or avoid the potentially repetitive video mode process. Advanced players may be capable of looping the side ramp with such ease that the game will play extremely long. Doctor Who is an acceptable choice for juniors or less-skilled divisions, but it is not an ideal choice for events where higher caliber players will receive repeated opportunities on the game.",No,G4x2Y,1
Dr. Dude And His Excellent Ray,Dr. Dude,Bally,1990,Adjustment 32 sets the jackpot to maximum for all players during competition.,,,No,GRVEJ,1
Dracula,Dracula,Stern,1979,,,,No,G4Zl2,1
Dragon,Dragon,Interflip,1977,,,"The scoring on Dragon is unusual, though it is consistent between all players. Lit pop bumpers are extremely valuable, making the game even more random than most others of this era.",No,G5Wn2,1
Earthshaker,Earthshaker,Williams,1989,,"To reduce game times, tournament directors can introduce flipper hop by placing a small wad of tape underneath the left flipper rubber. This type of fix is far from ideal, but if Earthshaker must be used and the length of the games to be played is a genuine concern for the format or location, the flipper hop will usually help reduce ball time. Why are you about to use Earthshaker? Do you really want to watch someone shoot a ramp 300 straight times?","Long playing game due to the center-ramp-all-day strategy. The center ramp feeds the left flipper for an easily repeatable shot. The main problem is the center ramp also awards “miles”. After a player reaches the End of the Road mode at 99 miles, the center ramp is then worth 250k points per shot, making it extremely lucrative and reasonably easy to attain for better players. Directors are encouraged to avoid using Earthshaker in any competition that requires extended qualifying.",No,GRw0r,1
Eight Ball Champ,Eight Ball Champ,Bally Midway,1985,,"Remove the rubber on the metal post at the top, center of the playfield. The ball will sometimes eject out of the upper right saucer, bounce off of this rubber, and fall back into the saucer. Some games have been known to repeat this process several times, leading to a tremendous scoring advantage.",,No,G439V,1
Eight Ball Deluxe,Eight Ball Deluxe,Bally,1980,Drop Targets should reset with 56k/112k light spotted when completing the DELUXE Stand Ups. Switch 23 = off 8-ball Saucer should collect bonus with lit multiplier. Switch 16 = on,,,No,G5KXk,1
Elvira and the Party Monsters,Elvira & the Party Monsters,Bally,1989,"In addition to standard tournament settings, the following adjustments should be made to all Elvira machines prior to any competitive event. #36 – Jackpot = 4,000,000 #40 – Elvira Letter Memory = Player #44 – Save Locks = No #48 – Contest Mode = Yes",Director’s are encouraged the keep the pitch of this game at or near factory recommendations.,"Locks can be stolen between players in a multiplayer match. Also, the flippers will noticeably weaken over time with extended play, meaning if the left ramp is not easily makeable at the start of a lengthy event, it will not be makeable at all by the end. Directors are encouraged to rebuild the flipper mechs and set the pitch of this game correctly prior to an event.",Yes,Grlxp,1
Escape from the Lost World,Escape from the Lost World,Bally,1987,,Be sure the upper right flipper can easily complete the upper play field.,"Multiball can be easy to achieve if the saucer on the right side of the playfield is easily accessible, potentially leading to long game times.",No,G5oEz,1
F-14 Tomcat,F-14 Tomcat,Williams,1987,,"The kickback should be lit on F-14 at the start of every ball. If extra balls are disabled (normal for tournaments), then flight insurance doesn't function. So if extra balls are disabled, flight insurance must be as well, or it will tell you are insured when you are not. Increasing the slope and waxing the game is a good way to add challenge. Setting multiball to hard is the only other software setting that is normally in need of changing. If the game is brutal, there is no need to make it any harder. Tightening up the tilt to a degree will also increase challenge.",F-14 will be a fast-playing game in a competitive environment. Players will play for multiball and attempt to spot as many letters as possible on the right orbit.,No,GRY2O,1
Farfalla,Farfalla,Zaccaria,1983,,,,No,GRVw2,1
Fast Draw / Quick Draw,Fast Draw,Gottlieb,1975,,,Fast Draw falls in line with many of the other Gottlieb EM’s from the same era and is a solid tournament game.,No,GRVoX,1
Fire!,Fire!,Williams,1987,,"Ensure the flippers are strong enough to easily make all ramp shots, including the center ramp, prior to the tournament beginning.",Fire! contains lock stealing between players.,Yes,G41Lo,1
Firepower,Firepower,Williams,1980,"For tournament play, directors are encouraged to set adjustment 31 to 03 so that targets 1-6 maintain memory and the locks are lit after one completion of the targets. Also, ensure the flippers are strong enough to make the upper lock from a cradle.",,Game suffers from lock stealing in multiplayer games.,Yes,G5VDd,1
Fish Tales,Fish Tales,Williams,1992,,Directors are encouraged to widen the outlanes and make the slingshots sensitive. Be certain the plunge goes all the way around the orbit to the left flipper.,"Fish Tales is a decent competitive game with multiple strategies, but if it’s set up too easily, the Super Jackpot scoring can ruin the balance of the game. Fish Tales is more acceptable in a tournament’s final rounds, or in an event where players receive few attempts on the game, as opposed to being used in qualifying for an event where players can play repeatedly and learn the angles and rebounds. As players’ familiarity with the specific Fish Tales machine grows, the scoring imbalance with the Super Jackpots becomes more of a potential problem.",No,G5Wxd,1
Flash,Flash,Williams,1979,,,,No,Grypn,1
Flash Gordon,Flash Gordon,Bally,1980,Dip Switch #16 governs memory on bonus multipliers.,"Flipper hop on Flash Gordon should be fixed. Dip Switch #16 governs memory on bonus multipliers. Directors are encouraged to leave all posts in and make the tilt somewhat liberal. Players must be able to backhand the single drop target on the upper playfield with the lower right flipper, and ideally players should be able to shoot the plunger lane behind the drop target with either flipper, though the shot is typically much easier with the lower left flipper.","Flash Gordon is difficult, but it’s a solid competition game. Prepare to receive complaints, and when you receive them, tell the players that Flash Gordon is awesome and they don’t know what they’re talking about, and if they complain anymore emperor Ming will crush their souls.",No,G5728,1
The Flintstones,Flintstones,Williams,1994,,,"If the pitch of the game is set incorrectly, the ball has the potential to fall off of the apron ramp below the flippers.",No,GRK95,1
Mary Shelley's Frankenstein,Frankenstein,Sega,1995,"Adjustment 53, Ramp Memory, Should be set to HARD.","In formats where competitors will be allowed to play the game repeatedly, such as the Best-Game or PAPA Qualifying format, Adjustment 53, Ramp Memory, Should be set to HARD. In formats where competitors will only be allowed to play the game once (or a limited, low number of times), this Adjustment should be set to MODERATE. Finally, directors should put a sign on the backglass reminding players they have a choice of music, and while Edgar Winter is certainly awesome in many ways -most especially his flowing white mullet- choosing the orchestral movie music option at the beginning of the game every once in a while will keep scorekeepers from going batshit crazy after listening to Winter’s supersweet guitar riff for 10 straight hours.","Frankenstein is a bit of a one-shot wonder provided the left flipper is strong enough to reach the ramp, though the game is serviceable for competition overall.",No,GRB7E,1
Freddy: A Nightmare on Elm Street,Freddy: A Nightmare on Elm Street,Gottlieb,1994,,"If the interlock switch on the coin door is not disabled, opening this era of Gottlieb games to retrieve a stuck ball will cause them to reset.","If the interlock is not disabled, the game will reset when the coin door is opened during play.",No,GRzB7,1
Frontier,Frontier,Bally,1980,,,Frontier is typically a fast-playing game without any major adjustments necessary. Chirp! Chirp!,No,GRwjq,1
Funhouse,Funhouse,Williams,1990,,Be certain the STEPS plunger is aligned correctly and does not rattle the ball off of the inlane opening. Check that the trap door does not cause a clean shot to airball over the switch.,"The gears in Rudy’s head are very difficult to replace quickly, and one of them is difficult to find for sale anywhere. If using Funhouse, Directors should have a back-up plan in place or be prepared to deal with this issue should it arise. The difficulty of Funhouse is determined largely by the consistency of the scoop kickout to the right flipper. Because of the relatively short length of games on Funhouse at standard difficulty, Directors are encouraged to ensure the kickout can be either controlled by holding up the left flipper or dead-bounced from the right flipper to the left. If the kickout is inconsistent, the mechanism should be rebuilt. (show video of good and bad funhouse kickouts)",No,G5Dz7,1
Genesis,Genesis,Gottlieb,1986,,,Be sure the vari-target is functioning properly. A clean shot from a cradled right flipper should be able to register the target at its maximum.,No,Gr2wz,1
Godzilla (Sega),Godzilla,Sega,1998,,"The flippers will grow weaker with extended play during long qualifying sessions. Ensure the right ramp is easily makeable from a cradle on the lower-left flipper prior to the event starting. If the flipper struggles to make this ramp in any way while fresh, it will not be strong enough several hours into qualifying.","Godzilla can be a long-playing game if set too conservatively in a high-caliber event. The option to install lightning flippers is available, but only do so if your tournament involves extended qualifying with top-level players.",No,G5po2,1
Goldeneye,Goldeneye,Sega,1996,,,"Goldeneye will be a long-playing game in a competitive environment. The shootout stand-up on the lower-left portion of the playfield can be used to stack kickbacks. Since the “kickback” on this game is a magnet that catches the ball from both outlanes and down the middle, each one represents an extra ball. Players will build these kickbacks until they can play the more dangerous modes in the game with relative immunity. There is no software setting to disable the shootouts, so the shootout target must be disabled beneath the playfield. Also, be sure the setting “Right ramp feeds pops” is set to NO, otherwise the tank coil will take a beating. One alternative to disabling the shootout target is to disable the ball saver magnet instead, though this option has not yet been tested and software compensation may override its usefulness. By disabling the magnet instead of the target, the wizard mode is still theoretically possible to the player, though if you can manage to actually finish the pen mode, you are a better player than the rest of us. Actually, if you can finish the pen mode, make a video of it any send it to Ripley’s Believe it or Not. They will likely put you in their wax museum, which would be a fantastic way to promote pinball to the masses. Also, for the record, PAPA is hereby officially sanctioning the Ripley’s wax museum.",No,G43wE,1
Guns N' Roses,Guns and Roses,Data East,1994,,,The ball will occasionally be hang on the habitrail above the vertical upkicker if the game’s pitch is too steep. Difficulty can be adjusted by using yellow posts to guard the Add Band Member saucer on the right and by making other standard adjustments.,No,GqZZ1,1
Harlem Globetrotters On Tour,Harlem Globetrotters,Bally,1978,,,"Players will need to tap-pass from both right to left and left to right. If using Harlem Globetrotters, Directors are encouraged to check the flippers and make ensure they are capable of tap-passing in both directions.",No,GRnwQ,1
High Speed,High Speed,Williams,1986,,Be sure the upper right flipper is strong enough to make the ramp consistently.,High Speed has a progressive jackpot that builds from player to player. Directors are encouraged to install modified roms that standardize the jackpot among all players during competition.,No,GRvzd,1
Independence Day,Independence Day,Sega,1996,,Do not set multiball difficulty to harder than factory. This will further encourage players to use the left lane strategy.,"Top players’ strategy is to shoot the left lane repeatedly for an award that builds to a large F-14 Hurry Up, resulting in very long play time. A gate in the top right allows balls shot along the top inner loop to come around repeatedly make sure this gate is working, or players will unfairly be able to get larger bonuses for shooting the top lanes and bumpers.",No,G4doQ,1
Indianapolis 500,Indianapolis 500,Bally,1995,,,"Indy 500 has a software bug that sometimes surfaces when the turbo isn’t loading balls correctly. When this software bug surfaces, it is possible to begin two multiballs at once, and it will also rarely give one additional ball saver to the affected player, which is deemed a beneficial malfunction. When this bug surfaces at PAPA, officials have allowed the current game to play out, though the game should be reset before another game is started.",No,Gr8l3,1
Iron Man,Iron Man,Stern,2010,,,"Keep the tilt reasonably loose. The game’s design encourages dangerous shots and nudging, so ball times are generally on the short side as long as the outlane posts are not set at their minimum. There is little reason to make this game “tilty” or more difficult than it already is.",No,GRVq4,1
Jack*Bot,Jack*Bot,Williams,1995,Set casino run specials to award 500m.,Set casino run specials to award 500m. Ensure the kickout from the mode saucer is consistent and saveable.,"Expert players will attempt to use the valid playfield switch exploit during this game, but aside from lengthening the average game time, this exploit hasn’t been shown to cause any major, repeatable imbalance or competitive problem.",No,GRKOX,1
Johnny Mnemonic,Johnny Mnemonic,Williams,1995,,"Factory default settings generally should be fine, since the game plays quickly.","Players tend to shoot for the “Spinner Millions” feature above anything else, since it dominates the scoring. Consider making it more difficult to spin the spinner by using a weight, or (at an extreme) replacing the spinner with a switch that only registers once.",No,GR6W8,1
Joker Poker,Joker Poker,Gottlieb,1978,,"Changing specials to award extra balls is an option. If you do this, though, replays will also award extra balls, extending play at specific scores. Therefore, you may not want to set specials to award extra balls.","The extra ball target must be physically disabled to remove this feature. Based on Joker Poker’s difficulty and its skill-based extra ball, consider leaving extra balls on for competition play.",No,GR9o1,1
Jokerz!,Jokerz,Williams,1988,,The ramp shots are critical during the “double your score” mode. Be sure the flippers are strong enough to make both easily.,"Inducing a ball search while cradling a ball on the flippers will cause the center ramp to cycle and become accessible, giving players the opportunity to safely repeat multiball without having to shoot the standup targets. Current PAPA rules state inducing a ball search in order to gain any type of benefit is illegal.",Yes,Gry3j,1
Judge Dredd,Judge Dredd,Bally,1993,,,"Some expert players will abuse the scoring features of the left ramp, causing the game to become very one-dimensional.",No,GRoZw,1
Jungle Queen/Princess,Jungle Queen,Gottlieb,1977,,,"Players may become frustrated and scream loudly at this game. Otherwise, there are no major competitive issues.",No,GrNnr,1
Kings of Steel,Kings of Steel,Bally Midway,1984,,"If Kings of Right Target must be used, disconnect the standup on the far right side of the playfield and put a note on the backglass explaining the change to players.","Kings of Steel will play extremely long and is not recommended for a competitive environment. The standup target on the right side of this playfield is worth far too many points. Players will do nothing but shoot this target repeatedly, and the better players will manage to roll the score display, some more than once.",No,GR67j,1
Last Action Hero,Last Action Hero,Data East,1993,,Adjustment 41 set to OFF disables the shaker motor.,Disable the smart missile in competitive play.,No,GRwyq,1
Lord of the Rings,Lord of the Rings,Stern,2003," Directors are encouraged to set the KEEP letters to turn on and off with each rollover (Adjustment #4 , Extra Hard), and to set the Cave Trolls sequence to OFF (Adjustment #33 , Off). The Destroy the Ring mode should also be set for one-ball as opposed to the standard two. ","Many Lord of the Rings machines have trouble with the up-post in the rear of the machine diverting orbit shots into the Orthanc tower. This issue can be a problem in War of the Ents and other modes where right orbit shots are critical. The mechanism can be made more effective by adding a washer where it screws onto the bottom of the playfield and angling the post forward. If aligned correctly, this adjustment will push the post farther into the orbit and give it a greater opportunity to divert the pinball.The inlane posts should not have any rubbers on them. The fuse controlling the Ring magnet is frequently blown on this game. Directors are encouraged to check F20 to make sure it is working correctly (250v 4amp Slow Blow).","Lord of the Rings will be a long playing game in a competitive environment unless it is set up correctly. If long gametime’s are a concern, focus on making the slingshots extremely sensitive and consider lowering the pitch to induce more lateral motion and making the ball more difficult to cradle.",No,GrqZX,1
Medieval Madness,Medieval Madness,Williams,1997,,"The difficulty of Medieval Madness is determined by the sensitivity of the slingshots, the size of the post guarding the castle-lock and the consistency of the castle kickout to the left orbit. If all three of these are set generously, the game will play for a long time. The good news is that increasing the difficulty of any of these three, or all three in subtle degrees, will make Medieval Madness a good competition game. If changing the post guarding the castle-lock, the maximum difficulty used should be the standard yellow post. The larger-style tapered post is too difficult and will cause players to avoid the castle multiball entirely, which changes the strategy of the game in an undesirable way. (show picture of different posts installed on medieval) The castle kickout can be altered by adjusting the angle of the mechanism beneath the playfield. The more consistently the castle kickout rebounds off of the metal guide, the easier the setup. Because the castle sequence includes an uncontrollable shot to the lowered castle gate, and players will voluntarily put themselves in peril by shooting at it, directors are encouraged make the castle kickout as reasonable as possible and increase the game’s difficulty in other ways.Installing thicker posts to guard the ramps will do little to lower the gametime in relation to the other issues previously discussed. It will, however, be an obvious bastardization and potentially upset players for little gain.As with altering the difficulty of all pinball machines, the slingshots will make more of a difference than any other adjustment. Begin by adjusting them prior to making any other changes.","The catapult coil will become weak during extended play (12+ hours) and will cause the ball to return to the player via the left ramp, a significantly more dangerous feed than the standard catapult sequence. Any tournament with a steady qualifying line that lasts all day should upgrade this coil prior to the event or be prepared to address it at the players’ request.",No,G5pe4,1
